sampled_date;sampling_point;r_sample_point;product;R_NO_ELABORACION;SAMPLE_NUMBER;analysis;name;FORMATTED_ENTRY;PRODUCT_GRADE;STAGE;T_TEST_METHOD;DISPLAY_STRING
2024-06-11 07:01:19.000;R-RFM_OCT;NULL;2209-F;NULL;619221;R-COMPONEN;NULL;0.0;SALIDA;NONE;ASTM_D_2163;% v/v
2024-06-11 07:01:19.000;R-RFM_OCT;NULL;2209-F;NULL;619221;R-COMPONEN;1,3=C4;0.0;SALIDA;NONE;ASTM_D_2163;% v/v
2024-06-11 07:01:19.000;R-RFM_OCT;NULL;2209-F;NULL;619221;R-COMPONEN;1=C4;0.0;SALIDA;NONE;ASTM_D_2163;% v/v
2024-06-11 07:01:19.000;R-RFM_OCT;NULL;2209-F;NULL;619221;R-COMPONEN;C-2=C4;0.0;SALIDA;NONE;ASTM_D_2163;% v/v
2024-06-11 07:01:19.000;R-RFM_OCT;NULL;2209-F;NULL;619221;R-COMPONEN;C1;2.6;SALIDA;NONE;ASTM_D_2163;% v/v
2024-06-11 07:01:19.000;R-RFM_OCT;NULL;2209-F;NULL;619221;R-COMPONEN;C2;1.9;SALIDA;NONE;ASTM_D_2163;% v/v
2024-06-11 07:01:19.000;R-RFM_OCT;NULL;2209-F;NULL;619221;R-COMPONEN;C2=;0.0;SALIDA;NONE;ASTM_D_2163;% v/v
2024-06-11 07:01:19.000;R-RFM_OCT;NULL;2209-F;NULL;619221;R-COMPONEN;C3;1.4;SALIDA;NONE;ASTM_D_2163;% v/v
2024-06-11 07:01:19.000;R-RFM_OCT;NULL;2209-F;NULL;619221;R-COMPONEN;C5=/C6+;0.0;SALIDA;NONE;ASTM_D_2163;% v/v
2024-06-11 07:01:19.000;R-RFM_OCT;NULL;2209-F;NULL;619221;R-COMPONEN;cálculo automático de C1;2.6;SALIDA;NONE;ASTM_D_2163;% v/v
2024-06-11 07:01:19.000;R-RFM_OCT;NULL;2209-F;NULL;619221;R-COMPONEN;cálculo automático de C2;1.9;SALIDA;NONE;ASTM_D_2163;% v/v
2024-06-11 07:01:19.000;R-RFM_OCT;NULL;2209-F;NULL;619221;R-COMPONEN;cálculo automático de C3;1.5;SALIDA;NONE;ASTM_D_2163;% v/v
2024-06-11 07:01:19.000;R-RFM_OCT;NULL;2209-F;NULL;619221;R-COMPONEN;cálculo automático de C4;1.1;SALIDA;NONE;ASTM_D_2163;% v/v
2024-06-11 07:01:19.000;R-RFM_OCT;NULL;2209-F;NULL;619221;R-COMPONEN;cálculo automático de C4 y superiores;1.4;SALIDA;NONE;ASTM_D_2163;% v/v
2024-06-11 07:01:19.000;R-RFM_OCT;NULL;2209-F;NULL;619221;R-COMPONEN;cálculo automático de C4=;0.0;SALIDA;NONE;ASTM_D_2163;-
2024-06-11 07:01:19.000;R-RFM_OCT;NULL;2209-F;NULL;619221;R-COMPONEN;cálculo automático de C5;0.3;SALIDA;NONE;ASTM_D_2163;% v/v
