iter	RMSE
0	1.580285571
1	1.553071572
2	1.523779406
3	1.496321147
4	1.471157124
5	1.43895102
6	1.412803701
7	1.387760404
8	1.36116838
9	1.3385378
10	1.317943555
11	1.296415486
12	1.278352071
13	1.255071748
14	1.230367377
15	1.204940662
16	1.180225369
17	1.161101846
18	1.143106722
19	1.124438899
20	1.106016912
21	1.087295581
22	1.071365495
23	1.055635283
24	1.038655532
25	1.02349755
26	1.008608627
27	0.9916375399
28	0.9790094644
29	0.9639105142
30	0.9503157946
31	0.9346281465
32	0.9191394387
33	0.9055095814
34	0.8918571193
35	0.8790117911
36	0.8659598642
37	0.8500527815
38	0.8389002721
39	0.8257269639
40	0.8145971599
41	0.8028454528
42	0.7896613863
43	0.7803664256
44	0.7698591804
45	0.7580226803
46	0.745615776
47	0.7354036729
48	0.723855929
49	0.713810031
50	0.7036842321
51	0.6949787954
52	0.6848565689
53	0.6740145467
54	0.6650378044
55	0.65693429
56	0.6495238558
57	0.6407002902
58	0.631536531
59	0.6223655725
60	0.6152876503
61	0.607722575
62	0.600095016
63	0.5920071035
64	0.5841529809
65	0.576684061
66	0.5688517832
67	0.5619784526
68	0.5550505447
69	0.5484544027
70	0.5398421885
71	0.5342573752
72	0.5271307603
73	0.5191939854
74	0.5140373112
75	0.5074050193
76	0.5010778905
77	0.4947574969
78	0.4878171995
79	0.481840057
80	0.4754419024
81	0.4695212323
82	0.4633327425
83	0.457527716
84	0.4520609112
85	0.4463457833
86	0.4389186778
87	0.4328685991
88	0.4261724561
89	0.4202674956
90	0.4144325824
91	0.4088983286
92	0.4032863483
93	0.3984763817
94	0.3923004996
95	0.3875449657
96	0.3825744327
97	0.3797738689
98	0.3757683973
99	0.3709304304
100	0.3658814427
101	0.3610336757
102	0.3567467763
103	0.3508093503
104	0.3463700377
105	0.3425631903
106	0.3380334862
107	0.3338478254
108	0.3298714089
109	0.3254901382
110	0.3214340131
111	0.3165963438
112	0.311679419
113	0.307270598
114	0.3029896971
115	0.2989337939
116	0.2948185542
117	0.2917537932
118	0.2872158378
119	0.28352311
120	0.2796131573
121	0.2757284111
122	0.272228799
123	0.2687717279
124	0.2649434469
125	0.2617747589
126	0.2591495446
127	0.2551444636
128	0.2527061876
129	0.2495532055
130	0.2461671976
131	0.2430307545
132	0.2401867074
133	0.2373951943
134	0.2339711106
135	0.2307953355
136	0.2277133479
137	0.2254950251
138	0.2225988711
139	0.219793693
140	0.2171014314
141	0.2138003409
142	0.2112579608
143	0.2084630502
144	0.2059755211
145	0.2028256146
146	0.199680876
147	0.1968544409
148	0.1950367951
149	0.1923145312
150	0.1902729437
151	0.1878353144
152	0.186088142
153	0.1838149246
154	0.1810330752
155	0.1786883319
156	0.1762067953
157	0.1740331473
158	0.1715919409
159	0.169239801
160	0.1666099497
161	0.1645325935
162	0.1624034955
163	0.1604807368
164	0.1583455617
165	0.1566285331
166	0.1546233274
167	0.152564159
168	0.1511991751
169	0.1492591
170	0.1473765426
171	0.1455207785
172	0.1436882462
173	0.1416797883
174	0.1401005504
175	0.138304013
176	0.1366470877
177	0.1349312077
178	0.1332354268
179	0.1315348827
180	0.1298101916
181	0.1281592819
182	0.1260727135
183	0.1249196324
184	0.1233358865
185	0.1217793251
186	0.1203255182
187	0.1188007574
188	0.1172870125
189	0.1157968358
190	0.1143264986
191	0.1128808795
192	0.1118985316
193	0.1104804743
194	0.1090167072
195	0.1076373479
196	0.1062790064
197	0.1049400818
198	0.1039729608
199	0.1026006202
